x;y
-10;-0.8390715
-9.99;-0.8444697
-9.98;-0.8497834
-9.97;-0.8550122
-9.96;-0.8601554
-9.95;-0.8652126
-9.94;-0.8701833
-9.93;-0.8750670
-9.92;-0.8798632
-9.91;-0.8845714
-9.90;-0.8891912
-9.89;-0.8937220
-9.88;-0.8981634
-9.87;-0.9025151
-9.86;-0.9067765
-9.85;-0.9109472
-9.84;-0.9150268
-9.83;-0.9190149
-9.82;-0.9229111
-9.81;-0.9267150
-9.80;-0.9304263
-9.79;-0.9340445
-9.78;-0.9375693
-9.77;-0.9410003
-9.76;-0.9443373
-9.75;-0.9475798
-9.74;-0.9507276
-9.73;-0.9537803
-9.72;-0.9567376
-9.71;-0.9595992
-9.70;-0.9623649
-9.69;-0.9650343
-9.68;-0.9676073
-9.67;-0.9700834
-9.66;-0.9724626
-9.65;-0.9747445
-9.64;-0.9769290
-9.63;-0.9790158
-9.62;-0.9810046
-9.61;-0.9828954
-9.60;-0.9846879
-9.59;-0.9863819
-9.58;-0.9879772
-9.57;-0.9894738
-9.56;-0.9908714
-9.55;-0.9921700
-9.54;-0.9933693
-9.53;-0.9944693
-9.52;-0.9954698
-9.51;-0.9963708
-9.50;-0.9971722
-9.49;-0.9978738
-9.48;-0.9984757
-9.47;-0.9989777
-9.46;-0.9993798
-9.45;-0.9996819
-9.44;-0.9998841
-9.43;-0.9999864
-9.42;-0.9999886
-9.41;-0.9998908
-9.40;-0.9996930
-9.39;-0.9993953
-9.38;-0.9989976
-9.37;-0.9985001
-9.36;-0.9979026
-9.35;-0.9972054
-9.34;-0.9964085
-9.33;-0.9955119
-9.32;-0.9945158
-9.31;-0.9934202
-9.30;-0.9922253
-9.29;-0.9909312
-9.28;-0.9895380
-9.27;-0.9880458
-9.26;-0.9864548
-9.25;-0.9847652
-9.24;-0.9829771
-9.23;-0.9810907
-9.22;-0.9791062
-9.21;-0.9770237
-9.20;-0.9748436
-9.19;-0.9725660
-9.18;-0.9701912
-9.17;-0.9677193
-9.16;-0.9651506
-9.15;-0.9624855
-9.14;-0.9597241
-9.13;-0.9568667
-9.12;-0.9539136
-9.11;-0.9508651
-9.10;-0.9477216
-9.09;-0.9444833
-9.08;-0.9411505
-9.07;-0.9377236
-9.06;-0.9342030
-9.05;-0.9305889
-9.04;-0.9268818
-9.03;-0.9230820
-9.02;-0.9191899
-9.01;-0.9152058
-9.00;-0.9111303
-8.99;-0.9069636
-8.98;-0.9027062
-8.97;-0.8983586
-8.96;-0.8939211
-8.95;-0.8893942
-8.94;-0.8847784
-8.93;-0.8800742
-8.92;-0.8752819
-8.91;-0.8704021
-8.90;-0.8654352
-8.89;-0.8603818
-8.88;-0.8552424
-8.87;-0.8500174
-8.86;-0.8447075
-8.85;-0.8393130
-8.84;-0.8338347
-8.83;-0.8282729
-8.82;-0.8226284
-8.81;-0.8169015
-8.80;-0.8110930
-8.79;-0.8052034
-8.78;-0.7992332
-8.77;-0.7931832
-8.76;-0.7870538
-8.75;-0.7808457
-8.74;-0.7745595
-8.73;-0.7681959
-8.72;-0.7617554
-8.71;-0.7552388
-8.70;-0.7486466
-8.69;-0.7419796
-8.68;-0.7352384
-8.67;-0.7284237
-8.66;-0.7215361
-8.65;-0.7145764
-8.64;-0.7075452
-8.63;-0.7004433
-8.62;-0.6932713
-8.61;-0.6860300
-8.60;-0.6787200
-8.59;-0.6713423
-8.58;-0.6638973
-8.57;-0.6563860
-8.56;-0.6488091
-8.55;-0.6411673
-8.54;-0.6334613
-8.53;-0.6256920
-8.52;-0.6178602
-8.51;-0.6099665
-8.50;-0.6020119
-8.49;-0.5939971
-8.48;-0.5859228
-8.47;-0.5777900
-8.46;-0.5695994
-8.45;-0.5613518
-8.44;-0.5530481
-8.43;-0.5446891
-8.42;-0.5362756
-8.41;-0.5278085
-8.40;-0.5192887
-8.39;-0.5107168
-8.38;-0.5020940
-8.37;-0.4934209
-8.36;-0.4846984
-8.35;-0.4759275
-8.34;-0.4671090
-8.33;-0.4582438
-8.32;-0.4493328
-8.31;-0.4403768
-8.30;-0.4313768
-8.29;-0.4223337
-8.28;-0.4132483
-8.27;-0.4041216
-8.26;-0.3949545
-8.25;-0.3857479
-8.24;-0.3765028
-8.23;-0.3672199
-8.22;-0.3579004
-8.21;-0.3485451
-8.20;-0.3391549
-8.19;-0.3297308
-8.18;-0.3202737
-8.17;-0.3107846
-8.16;-0.3012644
-8.15;-0.2917141
-8.14;-0.2821346
-8.13;-0.2725269
-8.12;-0.2628919
-8.11;-0.2532307
-8.10;-0.2435442
-8.09;-0.2338332
-8.08;-0.2240989
-8.07;-0.2143422
-8.06;-0.2045641
-8.05;-0.1947655
-8.04;-0.1849474
-8.03;-0.1751109
-8.02;-0.1652568
-8.01;-0.1553862
-8.00;-0.1455000
-7.99;-0.1355993
-7.98;-0.1256851
-7.97;-0.1157583
-7.96;-0.1058199
-7.95;-0.0958709
-7.94;-0.0859123
-7.93;-0.0759452
-7.92;-0.0659704
-7.91;-0.0559891
-7.90;-0.0460021
-7.89;-0.0360106
-7.88;-0.0260154
-7.87;-0.0160177
-7.86;-0.0060183
-7.85;0.0039816
-7.84;0.0139812
-7.83;0.0239793
-7.82;0.0339751
-7.81;0.0439675
-7.80;0.0539554
-7.79;0.0639380
-7.78;0.0739142
-7.77;0.0838829
-7.76;0.0938433
-7.75;0.1037944
-7.74;0.1137350
-7.73;0.1236642
-7.72;0.1335811
-7.71;0.1434847
-7.70;0.1533739
-7.69;0.1632477
-7.68;0.1731052
-7.67;0.1829454
-7.66;0.1927674
-7.65;0.2025700
-7.64;0.2123524
-7.63;0.2221135
-7.62;0.2318525
-7.61;0.2415682
-7.60;0.2512598
-7.59;0.2609263
-7.58;0.2705667
-7.57;0.2801800
-7.56;0.2897653
-7.55;0.2993217
-7.54;0.3088481
-7.53;0.3183436
-7.52;0.3278072
-7.51;0.3372381
-7.50;0.3466353
-7.49;0.3559978
-7.48;0.3653247
-7.47;0.3746151
-7.46;0.3838680
-7.45;0.3930826
-7.44;0.4022578
-7.43;0.4113928
-7.42;0.4204867
-7.41;0.4295385
-7.40;0.4385473
-7.39;0.4475123
-7.38;0.4564326
-7.37;0.4653072
-7.36;0.4741353
-7.35;0.4829159
-7.34;0.4916483
-7.33;0.5003315
-7.32;0.5089647
-7.31;0.5175470
-7.30;0.5260775
-7.29;0.5345554
-7.28;0.5429799
-7.27;0.5513501
-7.26;0.5596651
-7.25;0.5679242
-7.24;0.5761264
-7.23;0.5842711
-7.22;0.5923573
-7.21;0.6003844
-7.20;0.6083513
-7.19;0.6162574
-7.18;0.6241019
-7.17;0.6318840
-7.16;0.6396029
-7.15;0.6472579
-7.14;0.6548481
-7.13;0.6623729
-7.12;0.6698314
-7.11;0.6772229
-7.10;0.6845467
-7.09;0.6918020
-7.08;0.6989882
-7.07;0.7061044
-7.06;0.7131501
-7.05;0.7201244
-7.04;0.7270268
-7.03;0.7338564
-7.02;0.7406126
-7.01;0.7472948
-7.00;0.7539023
-6.99;0.7604343
-6.98;0.7668903
-6.97;0.7732697
-6.96;0.7795717
-6.95;0.7857957
-6.94;0.7919412
-6.93;0.7980075
-6.92;0.8039939
-6.91;0.8099000
-6.90;0.8157251
-6.89;0.8214686
-6.88;0.8271300
-6.87;0.8327086
-6.86;0.8382040
-6.85;0.8436156
-6.84;0.8489428
-6.83;0.8541851
-6.82;0.8593420
-6.81;0.8644130
-6.80;0.8693975
-6.79;0.8742951
-6.78;0.8791052
-6.77;0.8838275
-6.76;0.8884613
-6.75;0.8930063
-6.74;0.8974621
-6.73;0.9018280
-6.72;0.9061038
-6.71;0.9102890
-6.70;0.9143831
-6.69;0.9183859
-6.68;0.9222967
-6.67;0.9261154
-6.66;0.9298414
-6.65;0.9334745
-6.64;0.9370142
-6.63;0.9404602
-6.62;0.9438121
-6.61;0.9470697
-6.60;0.9502326
-6.59;0.9533004
-6.58;0.9562730
-6.57;0.9591499
-6.56;0.9619308
-6.55;0.9646156
-6.54;0.9672040
-6.53;0.9696956
-6.52;0.9720902
-6.51;0.9743876
-6.50;0.9765876
-6.49;0.9786900
-6.48;0.9806944
-6.47;0.9826008
-6.46;0.9844090
-6.45;0.9861187
-6.44;0.9877298
-6.43;0.9892421
-6.42;0.9906555
-6.41;0.9919698
-6.40;0.9931849
-6.39;0.9943007
-6.38;0.9953171
-6.37;0.9962340
-6.36;0.9970512
-6.35;0.9977687
-6.34;0.9983865
-6.33;0.9989044
-6.32;0.9993224
-6.31;0.9996405
-6.30;0.9998586
-6.29;0.9999768
-6.28;0.9999949
-6.27;0.9999131
-6.26;0.9997312
-6.25;0.9994494
-6.24;0.9990677
-6.23;0.9985860
-6.22;0.9980045
-6.21;0.9973232
-6.20;0.9965421
-6.19;0.9956614
-6.18;0.9946811
-6.17;0.9936014
-6.16;0.9924223
-6.15;0.9911439
-6.14;0.9897665
-6.13;0.9882901
-6.12;0.9867148
-6.11;0.9850409
-6.10;0.9832684
-6.09;0.9813977
-6.08;0.9794288
-6.07;0.9773619
-6.06;0.9751974
-6.05;0.9729353
-6.04;0.9705759
-6.03;0.9681195
-6.02;0.9655662
-6.01;0.9629164
-6.00;0.9601703
-5.99;0.9573282
-5.98;0.9543903
-5.97;0.9513570
-5.96;0.9482286
-5.95;0.9450054
-5.94;0.9416876
-5.93;0.9382757
-5.92;0.9347700
-5.91;0.9311708
-5.90;0.9274784
-5.89;0.9236934
-5.88;0.9198159
-5.87;0.9158465
-5.86;0.9117855
-5.85;0.9076333
-5.84;0.9033903
-5.83;0.8990570
-5.82;0.8946338
-5.81;0.8901212
-5.80;0.8855195
-5.79;0.8808293
-5.78;0.8760510
-5.77;0.8711851
-5.76;0.8662321
-5.75;0.8611924
-5.74;0.8560667
-5.73;0.8508553
-5.72;0.8455588
-5.71;0.8401778
-5.70;0.8347128
-5.69;0.8291643
-5.68;0.8235329
-5.67;0.8178191
-5.66;0.8120236
-5.65;0.8061468
-5.64;0.8001894
-5.63;0.7941521
-5.62;0.7880353
-5.61;0.7818397
-5.60;0.7755659
-5.59;0.7692145
-5.58;0.7627863
-5.57;0.7562817
-5.56;0.7497016
-5.55;0.7430464
-5.54;0.7363170
-5.53;0.7295139
-5.52;0.7226379
-5.51;0.7156896
-5.50;0.7086698
-5.49;0.7015791
-5.48;0.6944182
-5.47;0.6871879
-5.46;0.6798888
-5.45;0.6725218
-5.44;0.6650875
-5.43;0.6575867
-5.42;0.6500202
-5.41;0.6423887
-5.40;0.6346929
-5.39;0.6269336
-5.38;0.6191117
-5.37;0.6112278
-5.36;0.6032829
-5.35;0.5952775
-5.34;0.5872127
-5.33;0.5790892
-5.32;0.5709077
-5.31;0.5626692
-5.30;0.5543743
-5.29;0.5460241
-5.28;0.5376192
-5.27;0.5291606
-5.26;0.5206491
-5.25;0.5120855
-5.24;0.5034707
-5.23;0.4948055
-5.22;0.4860909
-5.21;0.4773276
-5.20;0.4685167
-5.19;0.4596588
-5.18;0.4507551
-5.17;0.4418062
-5.16;0.4328131
-5.15;0.4237768
-5.14;0.4146981
-5.13;0.4055779
-5.12;0.3964172
-5.11;0.3872168
-5.10;0.3779777
-5.09;0.3687009
-5.08;0.3593871
-5.07;0.3500374
-5.06;0.3406527
-5.05;0.3312339
-5.04;0.3217820
-5.03;0.3122980
-5.02;0.3027827
-5.01;0.2932371
-5.00;0.2836622
-4.99;0.2740589
-4.98;0.2644282
-4.97;0.2547711
-4.96;0.2450885
-4.95;0.2353814
-4.94;0.2256508
-4.93;0.2158976
-4.92;0.2061228
-4.91;0.1963274
-4.90;0.1865124
-4.89;0.1766787
-4.88;0.1668273
-4.87;0.1569593
-4.86;0.1470756
-4.85;0.1371771
-4.84;0.1272650
-4.83;0.1173401
-4.82;0.1074034
-4.81;0.0974561
-4.80;0.0874990
-4.79;0.0775331
-4.78;0.0675595
-4.77;0.0575792
