x;y
-10;-1.5423510
-9.99;-1.5766700
-9.98;-1.6120885
-9.97;-1.6486677
-9.96;-1.6864733
-9.95;-1.7255760
-9.94;-1.7660519
-9.93;-1.8079832
-9.92;-1.8514587
-9.91;-1.8965745
-9.90;-1.9434347
-9.89;-1.9921526
-9.88;-2.0428510
-9.87;-2.0956640
-9.86;-2.1507381
-9.85;-2.2082333
-9.84;-2.2683252
-9.83;-2.3312067
-9.82;-2.3970900
-9.81;-2.4662096
-9.80;-2.5388247
-9.79;-2.6152232
-9.78;-2.6957251
-9.77;-2.7806876
-9.76;-2.8705106
-9.75;-2.9656428
-9.74;-3.0665903
-9.73;-3.1739252
-9.72;-3.2882971
-9.71;-3.4104468
-9.70;-3.5412226
-9.69;-3.6816010
-9.68;-3.8327112
-9.67;-3.9958666
-9.66;-4.1726042
-9.65;-4.3647337
-9.64;-4.5744011
-9.63;-4.8041708
-9.62;-5.0571325
-9.61;-5.3370432
-9.60;-5.6485174
-9.59;-5.9972868
-9.58;-6.3905601
-9.57;-6.8375316
-9.56;-7.3501151
-9.55;-7.9440303
-9.54;-8.6404538
-9.53;-9.4686125
-9.52;-10.4700106
-9.51;-11.7056328
-9.50;-13.2688927
-9.49;-15.3104938
-9.48;-18.0903008
-9.47;-22.0980355
-9.46;-28.3795730
-9.45;-39.6394570
-9.44;-65.6891463
-9.43;-191.4943312
-9.42;209.2927168
-9.41;67.6634089
-9.40;40.3501867
-9.39;28.7422487
-9.38;22.3174870
-9.37;18.2372541
-9.36;15.4157505
-9.35;13.3479889
-9.34;11.7672456
-9.33;10.5193645
-9.32;9.5090402
-9.31;8.6741810
-9.30;7.9725999
-9.29;7.3746302
-9.28;6.8588018
-9.27;6.4091929
-9.26;6.0137471
-9.25;5.6631669
-9.24;5.3501675
-9.23;5.0689603
-9.22;4.8148871
-9.21;4.5841574
-9.20;4.3736552
-9.19;4.1807952
-9.18;4.0034147
-9.17;3.8396905
-9.16;3.6880748
-9.15;3.5472450
-9.14;3.4160645
-9.13;3.2935506
