x;y
-10;0.1907107
-9.99;0.2102216
-9.98;0.2294701
-9.97;0.2484618
-9.96;0.2672020
-9.95;0.2856960
-9.94;0.3039486
-9.93;0.3219645
-9.92;0.3397485
-9.91;0.3573050
-9.90;0.3746382
-9.89;0.3917524
-9.88;0.4086515
-9.87;0.4253393
-9.86;0.4418198
-9.85;0.4580965
-9.84;0.4741729
-9.83;0.4900525
-9.82;0.5057386
-9.81;0.5212345
-9.80;0.5365432
-9.79;0.5516679
-9.78;0.5666116
-9.77;0.5813771
-9.76;0.5959672
-9.75;0.6103848
-9.74;0.6246325
-9.73;0.6387130
-9.72;0.6526288
-9.71;0.6663825
-9.70;0.6799765
-9.69;0.6934134
-9.68;0.7066954
-9.67;0.7198248
-9.66;0.7328041
-9.65;0.7456355
-9.64;0.7583211
-9.63;0.7708633
-9.62;0.7832641
-9.61;0.7955257
-9.60;0.8076502
-9.59;0.8196398
-9.58;0.8314964
-9.57;0.8432222
-9.56;0.8548191
-9.55;0.8662893
-9.54;0.8776346
-9.53;0.8888572
-9.52;0.8999589
-9.51;0.9109418
-9.50;0.9218079
-9.49;0.9325591
-9.48;0.9431974
-9.47;0.9537248
-9.46;0.9641432
-9.45;0.9744546
-9.44;0.9846609
-9.43;0.9947643
-9.42;1.0047666
-9.41;1.0146698
-9.40;1.0244761
-9.39;1.0341873
-9.38;1.0438055
-9.37;1.0533329
-9.36;1.0627714
-9.35;1.0721231
-9.34;1.0813902
-9.33;1.0905747
-9.32;1.0996789
-9.31;1.1087049
-9.30;1.1176549
-9.29;1.1265312
-9.28;1.1353360
-9.27;1.1440717
-9.26;1.1527405
-9.25;1.1613448
-9.24;1.1698871
-9.23;1.1783698
-9.22;1.1867953
-9.21;1.1951663
-9.20;1.2034853
-9.19;1.2117550
-9.18;1.2199779
-9.17;1.2281569
-9.16;1.2362948
-9.15;1.2443944
-9.14;1.2524586
-9.13;1.2604904
-9.12;1.2684928
-9.11;1.2764690
-9.10;1.2844221
-9.09;1.2923555
-9.08;1.3002724
-9.07;1.3081762
-9.06;1.3160706
-9.05;1.3239591
-9.04;1.3318453
-9.03;1.3397332
-9.02;1.3476266
-9.01;1.3555294
-9.00;1.3634459
-8.99;1.3713803
-8.98;1.3793369
-8.97;1.3873202
-8.96;1.3953349
-8.95;1.4033856
-8.94;1.4114774
-8.93;1.4196153
-8.92;1.4278046
-8.91;1.4360505
-8.90;1.4443588
-8.89;1.4527351
-8.88;1.4611855
-8.87;1.4697160
-8.86;1.4783331
-8.85;1.4870433
-8.84;1.4958535
-8.83;1.5047708
-8.82;1.5138025
-8.81;1.5229562
-8.80;1.5322399
-8.79;1.5416617
-8.78;1.5512302
-8.77;1.5609543
-8.76;1.5708432
-8.75;1.5809064
-8.74;1.5911540
-8.73;1.6015965
-8.72;1.6122446
-8.71;1.6231097
-8.70;1.6342036
-8.69;1.6455387
-8.68;1.6571279
-8.67;1.6689847
-8.66;1.6811233
-8.65;1.6935584
-8.64;1.7063056
-8.63;1.7193810
-8.62;1.7328019
-8.61;1.7465861
-8.60;1.7607525
-8.59;1.7753208
-8.58;1.7903120
-8.57;1.8057481
-8.56;1.8216521
-8.55;1.8380486
-8.54;1.8549634
-8.53;1.8724239
-8.52;1.8904588
-8.51;1.9090987
-8.50;1.9283762
-8.49;1.9483257
-8.48;1.9689836
-8.47;1.9903888
-8.46;2.0125828
-8.45;2.0356096
-8.44;2.0595162
-8.43;2.0843528
-8.42;2.1101732
-8.41;2.1370348
-8.40;2.1649994
-8.39;2.1941330
-8.38;2.2245068
-8.37;2.2561973
-8.36;2.2892871
-8.35;2.3238654
-8.34;2.3600283
-8.33;2.3978805
-8.32;2.4375349
-8.31;2.4791149
-8.30;2.5227544
-8.29;2.5685996
-8.28;2.6168104
-8.27;2.6675620
-8.26;2.7210467
-8.25;2.7774761
-8.24;2.8370836
-8.23;2.9001275
-8.22;2.9668938
-8.21;3.0377011
-8.20;3.1129042
-8.19;3.1929002
-8.18;3.2781348
-8.17;3.3691101
-8.16;3.4663934
-8.15;3.5706288
-8.14;3.6825501
-8.13;3.8029974
-8.12;3.9329369
-8.11;4.0734858
-8.10;4.2259424
-8.09;4.3918251
-8.08;4.5729209
-8.07;4.7713471
-8.06;4.9896324
-8.05;5.2308208
-8.04;5.4986111
-8.03;5.7975419
-8.02;6.1332453
-8.01;6.5127973
-8.00;6.9452115
-7.99;7.4421522
-7.98;8.0189857
-7.97;8.6963757
-7.96;9.5027819
-7.95;10.4785193
-7.94;11.6826497
-7.93;13.2053117
-7.92;15.1912580
-7.91;17.8886006
-7.90;21.7611148
-7.89;27.7876171
-7.88;38.4517312
-7.87;62.4390181
-7.86;166.1620684
-7.85;-251.1558258
-7.84;-71.5317193
-7.83;-41.7145617
-7.82;-29.4503079
-7.81;-22.7660683
-7.80;-18.5607771
-7.79;-15.6720901
-7.78;-13.5661129
-7.77;-11.9632413
-7.76;-10.7028745
-7.75;-9.6861918
-7.74;-8.8490514
-7.73;-8.1480054
-7.72;-7.5525766
-7.71;-7.0407546
-7.70;-6.5962463
-7.69;-6.2067328
-7.68;-5.8627271
-7.67;-5.5568045
-7.66;-5.2830712
-7.65;-5.0367889
-7.64;-4.8141048
-7.63;-4.6118539
-7.62;-4.4274122
-7.61;-4.2585856
-7.60;-4.1035255
-7.59;-3.9606632
-7.58;-3.8286588
-7.57;-3.7063611
-7.56;-3.5927752
-7.55;-3.4870371
