x;y
-10;0.5440211
-9.99;0.5356033
-9.98;0.5271320
-9.97;0.5186079
-9.96;0.5100320
-9.95;0.5014051
-9.94;0.4927281
-9.93;0.4840018
-9.92;0.4752270
-9.91;0.4664048
-9.90;0.4575359
-9.89;0.4486213
-9.88;0.4396618
-9.87;0.4306583
-9.86;0.4216118
-9.85;0.4125231
-9.84;0.4033931
-9.83;0.3942228
-9.82;0.3850131
-9.81;0.3757649
-9.80;0.3664791
-9.79;0.3571567
-9.78;0.3477986
-9.77;0.3384056
-9.76;0.3289789
-9.75;0.3195192
-9.74;0.3100276
-9.73;0.3005050
-9.72;0.2909523
-9.71;0.2813705
-9.70;0.2717606
-9.69;0.2621236
-9.68;0.2524603
-9.67;0.2427717
-9.66;0.2330589
-9.65;0.2233228
-9.64;0.2135644
-9.63;0.2037845
-9.62;0.1939844
-9.61;0.1841648
-9.60;0.1743268
-9.59;0.1644714
-9.58;0.1545995
-9.57;0.1447121
-9.56;0.1348103
-9.55;0.1248950
-9.54;0.1149673
-9.53;0.1050280
-9.52;0.0950782
-9.51;0.0851189
-9.50;0.0751511
-9.49;0.0651758
-9.48;0.0551940
-9.47;0.0452066
-9.46;0.0352148
-9.45;0.0252194
-9.44;0.0152215
-9.43;0.0052220
-9.42;-0.0047779
-9.41;-0.0147774
-9.40;-0.0247754
-9.39;-0.0347710
-9.38;-0.0447630
-9.37;-0.0547506
-9.36;-0.0647327
-9.35;-0.0747083
-9.34;-0.0846764
-9.33;-0.0946361
-9.32;-0.1045863
-9.31;-0.1145261
-9.30;-0.1244544
-9.29;-0.1343703
-9.28;-0.1442727
-9.27;-0.1541607
-9.26;-0.1640333
-9.25;-0.1738895
-9.24;-0.1837283
-9.23;-0.1935487
-9.22;-0.2033498
-9.21;-0.2131305
-9.20;-0.2228899
-9.19;-0.2326270
-9.18;-0.2423409
-9.17;-0.2520305
-9.16;-0.2616950
-9.15;-0.2713332
-9.14;-0.2809444
-9.13;-0.2905274
-9.12;-0.3000814
-9.11;-0.3096053
-9.10;-0.3190984
-9.09;-0.3285595
-9.08;-0.3379877
-9.07;-0.3473822
-9.06;-0.3567419
-9.05;-0.3660659
