x;y
-10;-0.6483608
-9.99;-0.6342481
-9.98;-0.6203134
-9.97;-0.6065504
-9.96;-0.5929534
-9.95;-0.5795167
-9.94;-0.5662348
-9.93;-0.5531025
-9.92;-0.5401147
-9.91;-0.5272664
-9.90;-0.5145529
-9.89;-0.5019696
-9.88;-0.4895120
-9.87;-0.4771757
-9.86;-0.4649567
-9.85;-0.4528507
-9.84;-0.4408539
-9.83;-0.4289624
-9.82;-0.4171725
-9.81;-0.4054805
-9.80;-0.3938830
-9.79;-0.3823765
-9.78;-0.3709577
-9.77;-0.3596233
-9.76;-0.3483701
-9.75;-0.3371950
-9.74;-0.3260951
-9.73;-0.3150673
-9.72;-0.3041088
-9.71;-0.2932167
-9.70;-0.2823883
-9.69;-0.2716210
-9.68;-0.2609119
-9.67;-0.2502586
-9.66;-0.2396585
-9.65;-0.2291091
-9.64;-0.2186079
-9.63;-0.2081525
-9.62;-0.1977405
-9.61;-0.1873697
-9.60;-0.1770376
-9.59;-0.1667421
-9.58;-0.1564808
-9.57;-0.1462516
-9.56;-0.1360523
-9.55;-0.1258807
-9.54;-0.1157347
-9.53;-0.1056121
-9.52;-0.0955109
-9.51;-0.0854290
-9.50;-0.0753642
-9.49;-0.0653147
-9.48;-0.0552782
-9.47;-0.0452529
-9.46;-0.0352366
-9.45;-0.0252274
-9.44;-0.0152232
-9.43;-0.0052221
-9.42;0.0047780
-9.41;0.0147790
-9.40;0.0247830
-9.39;0.0347920
-9.38;0.0448079
-9.37;0.0548328
-9.36;0.0648687
-9.35;0.0749177
-9.34;0.0849817
-9.33;0.0950628
-9.32;0.1051631
-9.31;0.1152847
-9.30;0.1254296
-9.29;0.1356000
-9.28;0.1457981
-9.27;0.1560259
-9.26;0.1662857
-9.25;0.1765796
-9.24;0.1869100
-9.23;0.1972791
-9.22;0.2076892
-9.21;0.2181426
-9.20;0.2286417
-9.19;0.2391889
-9.18;0.2497868
-9.17;0.2604377
-9.16;0.2711442
-9.15;0.2819089
-9.14;0.2927345
-9.13;0.3036237
-9.12;0.3145792
-9.11;0.3256038
-9.10;0.3367005
-9.09;0.3478722
-9.08;0.3591218
-9.07;0.3704526
-9.06;0.3818676
-9.05;0.3933702
-9.04;0.4049635
-9.03;0.4166512
-9.02;0.4284367
-9.01;0.4403236
-9.00;0.4523157
-8.99;0.4644167
-8.98;0.4766307
-8.97;0.4889616
-8.96;0.5014137
-8.95;0.5139914
-8.94;0.5266990
-8.93;0.5395412
-8.92;0.5525227
-8.91;0.5656485
-8.90;0.5789236
-8.89;0.5923533
-8.88;0.6059431
-8.87;0.6196986
-8.86;0.6336256
-8.85;0.6477303
-8.84;0.6620188
-8.83;0.6764979
-8.82;0.6911741
-8.81;0.7060547
-8.80;0.7211469
-8.79;0.7364583
-8.78;0.7519970
-8.77;0.7677711
-8.76;0.7837894
-8.75;0.8000607
-8.74;0.8165945
-8.73;0.8334006
-8.72;0.8504891
-8.71;0.8678709
-8.70;0.8855569
-8.69;0.9035591
-8.68;0.9218895
-8.67;0.9405610
-8.66;0.9595872
-8.65;0.9789820
-8.64;0.9987604
-8.63;1.0189378
-8.62;1.0395306
-8.61;1.0605561
-8.60;1.0820324
-8.59;1.1039786
-8.58;1.1264147
-8.57;1.1493620
-8.56;1.1728430
-8.55;1.1968814
